Subject,1_back_Averaged,1_back_Correct,1_back_Incorrect,2_back_Averaged,2_back_Correct,2_back_Incorrect,3_back_Averaged,3_back_Correct,3_back_Incorrect,4_back_Averaged,4_back_Correct,4_back_Incorrect,5_back_Averaged,5_back_Correct,5_back_Incorrect,6_back_Averaged,6_back_Correct,6_back_Incorrect,7_back_Averaged,7_back_Correct,7_back_Incorrect,8_back_Averaged,8_back_Correct,8_back_Incorrect,9_back_Averaged,9_back_Correct,9_back_Incorrect,10_back_Averaged,10_back_Correct,10_back_Incorrect
1,-0.06123387170399284,0.033152678742628304,-0.3693853733859401,-0.11008265001276644,-0.16380666467570565,0.049839820536098436,0.0907567837096859,0.10337461886565788,0.055346255238059326,0.14998289940070364,0.20848449994633284,-0.0414396742544123,-0.12323895109887349,-0.23597621599419838,0.17606595719745083,-0.0823608594340399,-0.05035246159135124,-0.1781004380532479,0.004473107259411226,-0.04210735650239796,0.1417241610611387,-0.019344205897851054,0.007628645700825908,-0.09198435951259173,-0.0599799950250986,-0.11735686684692392,0.14887143939348724,0.1986763034069843,0.31939561224559365,-0.18277624691146332
2,-0.31021123613310003,-0.4280063129520816,0.0229785626494134,-0.10124806403692786,-0.09502280392484667,-0.0765826702236972,-0.014734902478660751,0.006339875413208622,-0.06918334007037638,0.019146380263709628,-0.0764103850362938,0.30218796592803476,0.04839297414098997,0.02890934354645324,0.09122699615994281,-0.10422205315640551,-0.03273933492552866,-0.32602030572266144,0.09171739130253287,0.1494339570248671,-0.05836225533972742,0.019008799854858503,0.012342501567355856,-0.014031795389593572,-0.0023445573190349137,0.037454330322850914,-0.20141906695868275,0.08852450578764944,0.19244916310078633,-0.21721877631044192
3,0.16187480055773654,0.10497059816204232,0.35796697507845154,0.0768406988361939,0.11238079819473784,-0.005811459329858909,0.1524139743640988,0.14888101562767495,0.09897062018408267,-0.009084541189804084,-0.11717407388890869,0.36074078714403746,0.04288782184742652,-0.0928081299627464,0.5053794488775492,0.13395194156917356,0.18322517355246143,-0.1736757641088606,-0.06485639986988798,-0.07063373932789038,-0.015215537436986816,-0.18562296437448123,-0.24631769373272505,-0.05439425479121962,-0.04588421353501135,0.0023300962760368082,-0.24681428694742366,-0.036964790012399155,-0.050797204958496094,-0.03780098976647194
4,-0.1652694774969081,-0.21940127482238578,0.011359290996303322,0.08444207343993308,0.12568919701270723,-0.017530524672302,0.07982090455139902,0.13089960842489462,-0.06742947801603434,-0.023492622256834995,-0.04629699887731604,0.04032415891272636,0.1475963054699907,0.07792920291650204,0.36084135746700746,0.06373012634241369,0.03087222025683283,0.14039657534796968,0.08219482177123147,0.07425747205452737,0.13693467428499015,0.08756530980863504,0.03178323348133045,0.27772405096517455,-0.05486119610072425,-0.11517556563689878,0.10550418275804051,-0.013210701554572046,-0.0915837185545918,0.2502847811408834
5,-0.02028692820287396,0.013670194396763858,-0.12587765617000773,-0.01471853671147812,0.003942690993900582,0.0066930908773874635,0.16609384561055093,0.23191182966492666,-0.0026661290667798557,-0.038783809213474275,0.013008193166314679,-0.20104377902782353,-0.012205443400058379,-0.04067995323865541,0.04347653972454677,0.13837491297891208,0.09105777448336137,0.26128317205480944,0.0921991355599414,0.06213550343164141,0.22981443067549542,-0.024973244113226097,-0.02876881580328738,-0.063039220696233,-0.013333375435316833,0.0964693336972783,-0.39659776058797774,0.004680587503444775,0.10663575837984737,-0.20706015251740964
6,-0.6644551151686727,-0.5915084841526624,-0.8901694678056926,0.10681398397937836,0.16918812272442904,-0.09521795834718388,-0.024124664698187484,-0.06598232333163341,0.06805625769853026,0.2593082434381722,0.2810604249051134,0.26472723314328056,-0.011064311857162602,0.031005848657064527,-0.13627651372135136,0.19235488165637046,0.15425021620312016,0.2854455525904045,-0.06016608082491598,-0.06999735585931183,-0.02558858830622382,0.1628213828003255,0.13469713127576155,0.3006634156830319,0.016680088968029225,0.030605747042977836,-0.009414833984368206,0.009661817087128488,-0.09927429971306384,0.31983049011035114
7,0.13099060128928747,0.1980756229796682,-0.07834359161562467,0.0635298938842452,0.08034259228853143,-0.001276378259177988,0.17606633582752768,0.30740229958774506,-0.26224863359737977,0.08410965883726623,0.04585260943450902,0.19203396614808294,-0.0554694189787541,-0.048671652713732,-0.08661725165465295,-0.13256910927523763,-0.2078736076759934,0.12322162526535713,-0.08127833584561994,-0.04451154651096431,-0.20124110025716824,0.09957568293802457,0.14079356233178403,-0.0031062681795490923,0.029840471881016944,0.04602360558597694,0.008729812459114038,-0.1423641293417715,-0.20996532025763148,0.045841178759609545
8,-0.014268355538483794,-0.12056505638662726,0.34212621252366104,-0.043281155796410835,0.025233682049243596,-0.2935002798041958,0.012345597449358692,0.012435139186052092,0.06352706932393164,0.007815361245380638,0.048315726502871206,-0.09092025431884009,-0.08704276358727991,-0.08331925803556739,-0.027147929227437632,-0.08900387730633717,-0.10723367467385493,-0.033358669816160945,0.11901458092642375,0.13314442394847678,0.09511613864834345,-0.05583037873284167,-0.09819275036416661,0.05267833788932568,0.10522656854898099,0.1013513028172173,0.15822979963043074,0.03232940966621957,0.007110498058019513,0.09970304539979487
9,0.0075552614135886275,0.028396371647742932,-0.07733980780914586,0.021617173334696784,0.08010357782656377,-0.14972431488540527,0.04577228807120717,-0.05400589287377264,0.33846872197215916,0.12911004911444335,0.10140677000238142,0.2121793879858449,0.014958582228805013,0.020420607798701067,-0.01530526218028007,-0.028115086694390213,-0.044163165074367614,0.031791667299197926,-0.21626953396072146,-0.23549717888251875,-0.1594990606441562,0.09737066840202624,0.15390366887268062,-0.06941666687054882,-0.06646298153616292,-0.02732181597418809,-0.18245487554691014,0.08936406211833493,0.09920958553226512,0.05365408078617085
10,-0.05365735864325447,-0.08126276117402728,0.016380203360153802,-0.08436288131481398,-0.11200950880299484,0.009652419198886243,0.053876462756376364,0.09014907881196593,-0.010957743474501735,0.024407640359278622,0.08306143285042117,-0.1581450698950613,-0.006645667572464799,-0.08491532343498212,0.24511019726781216,-0.04172744301716681,-0.0904249551938356,0.10170107431221685,0.09933221993691478,0.10806441608976032,0.09425459312246261,0.04332657957055689,4.2295001752603624e-05,0.1701042856203139,-0.03382771402697815,0.08262534521662451,-0.4014013963985644,-0.012901856320862428,-0.01673998199994902,-0.03682556065696376
11,-0.2377435025752453,-0.16922490462147038,-0.4579032684081753,0.05685591394575917,0.11155529066275577,-0.11382150879046049,0.03089722081872328,0.0592316504703105,-0.08238939453367997,-0.0518982067678944,-0.07685794733519578,0.042982729660066124,0.03602931234628399,-0.06527980432848351,0.3655294178322376,-0.00027156894319988086,-0.066858406984277,0.21253085765444488,-0.07974348386626878,-0.11918375453702346,0.039776353302502114,-0.07628032187364159,-0.055963340729718654,-0.1537710396214801,0.033340489197929465,0.08453511992353684,-0.13804302797685233,0.12571511425643495,0.06839407860859519,0.2967767764583702
12,-0.04353658688566393,-0.0962988233652048,0.11263348316399051,0.055154867702537705,0.16716708825898957,-0.29042048090261907,-0.03146873387131913,0.030030061038011507,-0.22106295098619957,0.059433028180353384,0.0639954288027567,0.058241945862357355,0.09475357485452045,0.08253815416978548,0.10347323623440056,-0.0568493825523026,-0.13709496766146567,0.2190878987867242,0.08628001960086551,0.1274954316360607,-0.02501483661007442,-0.12438891214386846,-0.17224035661257733,0.043843733348424424,0.23016394538684473,0.25367139302392194,0.1869717953021167,-0.06566975510425986,-0.0960942477997163,0.039115877329554224
13,-0.0384553122127893,0.0177687330040447,-0.17625007743699972,0.009142366391873807,-0.029049742681602226,0.10234844261444313,0.12989805332904386,0.18032706303307477,0.06356432082097033,0.09544667860247659,0.12233382099047808,0.058093479939734134,-0.06136597382542717,-0.08710638002185803,-0.007422017889371864,0.06004857396541148,-0.09307479436373926,0.4867357425396414,0.03178319455997436,-0.007256995503056359,0.10095829515154464,0.03056428904257203,-0.04239043667145675,0.2338070591207029,0.014686597543799917,-0.025272121104842227,0.10653749561396864,0.025426062905765944,0.05504346400475436,-0.031514278453396626
14,0.001859115421492353,0.16085639074177327,-0.42899294554084205,0.2644557157677404,0.25766607884949305,0.3238682993948795,0.0034879086938912705,-0.06426243154823123,0.1523065500227954,0.3417102646158156,0.4003786769113825,0.17332731959893438,0.12547278821694335,0.13086735966799135,0.09275351806354878,0.1609371548105963,0.1534669692026158,0.18551308360959104,-0.07385269704810857,-0.07607369789215077,-0.09561596984656534,0.1582297204249832,0.15974487760623082,0.1297028806940029,0.011613367729794348,0.037960967424685826,-0.10546141121472577,0.14801341401604257,0.1850041644270486,0.02181322786386474
15,0.2317062315237042,0.35142019140326475,-0.08710753033475638,0.1074551819751752,0.20124038752436768,-0.13356187045431897,0.19442130796468976,0.213567462101504,0.09181788976078685,-0.024601546639164206,-0.05147441274263802,0.03811687716647423,0.0779179576299299,-0.06145585448988192,0.4624420040459448,0.1374493383915537,0.21470132309923023,-0.09084910604394021,-0.0069929497513542445,-0.035580599546073025,0.01425490933167221,-0.10005430752188792,-0.04477943880337305,-0.27545075105857425,-0.03444590805046478,0.0084648778973206,-0.1095591093108378,-0.11652892899971613,-0.13058450020393286,-0.027033333720437213
16,0.12602742924558905,0.2143409483601996,-0.12996555011542396,-0.03132116781896807,0.06401134835063349,-0.3197116337541684,0.1115971582154667,0.22739820025292926,-0.3099858312249222,0.17618688409276237,0.2726278794129767,-0.09754301325370475,0.027423496593466726,0.08798247292254631,-0.07931555425534902,-0.03498354993153879,0.056549666599773285,-0.29070405718356324,0.0823536072718341,0.15064949313586184,-0.08634714310358738,-0.10099139467136925,-0.10771280154858465,-0.19198266344111478,0.07440887933765007,0.12392666179470203,-0.062107870619663906,0.07538354144413878,0.01803783313830431,0.29759202084018865
17,-0.2501092549939416,-0.27260459181118546,-0.16496334313444797,0.03560921295635738,0.03551241779253794,0.025589290354653516,-0.1592206198963853,-0.12937638937128404,-0.39670747856672234,-0.05040160916892375,-0.16516854932760314,0.2825515042909837,0.030872571498930055,0.12264725740993893,-0.24196837278571068,0.018642443987483902,-0.006720717883358018,0.1826721863544352,0.05414699308875452,0.005210279530048809,0.2483495688129959,0.12115007033012616,0.12565920849677442,0.1021968811856835,-0.18256717149949897,-0.1850856904938679,-0.18178568345898372,0.058179626342454514,0.01357289691839788,0.12341853701968455
18,-0.19688615075011576,-0.1142246324040993,-0.4636906304866265,-0.015340407924902369,-0.02650954175326444,-0.011096442192040942,0.041365885203102,0.07700221260270537,-0.14862014802696366,0.02260854891017288,0.03127426308188091,0.007612731704321245,0.06719552489505085,0.04956134078268251,0.1453819992724958,0.07719743290418618,-0.020859882906012157,0.39822712546561445,-0.03213729877481922,0.028096322364131315,-0.19813896368028472,-0.0739115774714091,-0.09485280098118822,-0.0812808112140581,0.012399807183383394,0.11606229269931669,-0.3731131862607933,-0.11656139729654019,-0.14939414998624423,0.15682097075404677
19,-0.009454275069677706,0.10948204769209137,-0.3554784288310981,-0.0104521903489805,-0.03308460178198781,0.047524461365104534,0.17178533176453273,0.20207486999441218,0.094222851643988,0.0002124271034793651,-0.054468192696995585,0.18786097023787018,-0.005009377698981993,-0.09127957453108967,0.33056629444795993,-0.03782958825650636,-0.07176988704380863,-0.007215099422234715,0.04494137680811047,0.043607852288695265,0.07316744656984084,-0.10022681687143745,-0.11213522731595901,-0.09037087135555452,-0.022827615476320975,-0.03548246130531488,-0.016849978103174148,-0.07419003330333879,-0.11742510459782118,0.08762529597332919
