Subject,-1_back_Correct,-1_back_Incorrect,0_back_Correct,0_back_Incorrect,1_back_Correct,1_back_Incorrect,2_back_Correct,2_back_Incorrect,3_back_Correct,3_back_Incorrect,4_back_Correct,4_back_Incorrect,5_back_Correct,5_back_Incorrect,6_back_Correct,6_back_Incorrect,7_back_Correct,7_back_Incorrect,8_back_Correct,8_back_Incorrect,9_back_Correct,9_back_Incorrect,10_back_Correct,10_back_Incorrect,11_back_Correct,11_back_Incorrect,12_back_Correct,12_back_Incorrect,13_back_Correct,13_back_Incorrect,14_back_Correct,14_back_Incorrect,15_back_Correct,15_back_Incorrect,-1_back_Correct,-1_back_Incorrect,0_back_Correct,0_back_Incorrect,1_back_Correct,1_back_Incorrect,2_back_Correct,2_back_Incorrect,3_back_Correct,3_back_Incorrect,4_back_Correct,4_back_Incorrect,5_back_Correct,5_back_Incorrect,6_back_Correct,6_back_Incorrect,7_back_Correct,7_back_Incorrect,8_back_Correct,8_back_Incorrect,9_back_Correct,9_back_Incorrect,10_back_Correct,10_back_Incorrect,11_back_Correct,11_back_Incorrect,12_back_Correct,12_back_Incorrect,13_back_Correct,13_back_Incorrect,14_back_Correct,14_back_Incorrect,15_back_Correct,15_back_Incorrect
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0.528259609057854,0.3947233076132919,0.5258877660028718,0.4010213776787478,0.464367800119516,0.5928120922477313,0.459321291923909,0.6007110137680526,0.46271445835885255,0.5896908815959474,0.4673812387427235,0.5634667205972003,0.46586185215752424,0.5560837841944029,0.46444005376586545,0.5496915351468828,0.46135157281908346,0.5473456768154159,0.4632970423909308,0.5317662662971159,0.4618531707941784,0.5241272892303781,0.45659796664665286,0.5256791118247099,0.4533873287062355,0.5289309328997416,0.45493169051152993,0.5187166938296208,0.45294979588007706,0.5131660646859767,0.4585675337489804,0.48351402652936215,0.45846065916081863,0.4805512344752785
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0.5299993333956051,0.38056534937855285,0.5334436296919842,0.3781833071758863,0.45951987618307727,0.5954835003856892,0.46109746769528187,0.5941105217119392,0.46430751785031876,0.5830524294423476,0.46841090610922065,0.5683618835496538,0.46808394185882973,0.5638031821450797,0.4721245720668497,0.5558438142042474,0.47096547699154767,0.5487188039563414,0.47445777958744656,0.5330158755762292,0.47638615146066876,0.5118261563211012,0.4755869491902504,0.503104203048985,0.4714946115468141,0.5124320281921755,0.4697738419454652,0.5171484459645106,0.4664348170885389,0.5188231363603617,0.46992180608792633,0.5089666392311314,0.4678862067734958,0.5141795245655086
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0.4904561442485626,0.38886022794005737,0.4913940895093587,0.3854165119347924,0.44350140094256557,0.5332010398585065,0.4412924742986263,0.5375988186595644,0.43856566662506313,0.5279712547694044,0.43752323924571657,0.5219080495268207,0.4325708647017906,0.5237641895490591,0.4314353638029694,0.5207156050212592,0.428266054938932,0.5235963998844462,0.42615010118721985,0.5184378074707594,0.4244891026113689,0.5140085979783946,0.42120947431613215,0.5107211797352585,0.4166366818193093,0.5166873215831019,0.4162839045312016,0.5102978923581165,0.4121121821507817,0.5063577663376938,0.414139436370495,0.48603876492536474,0.4099477648007981,0.49039863421349245
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0.537869678763812,0.3943713382507476,0.5348110701109788,0.3974633217223662,0.4886087679564894,0.5440806924795921,0.48186158260797696,0.5544312575508459,0.48182007607526833,0.5511892249827819,0.4795695277469211,0.554050809677747,0.4756925310716005,0.5621713311334442,0.47431676996163785,0.563296427235956,0.4707400890701143,0.5654940415245938,0.4735516354467843,0.5550588082401996,0.47441767895498366,0.5494529474926487,0.47722598331765703,0.5345952267930687,0.47799151762045866,0.5314630049441982,0.47614066021387236,0.5425688990348847,0.47143337717945366,0.5420905641769797,0.4717044513661322,0.5276194892492304,0.4722651861523479,0.5183075697365078
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0.46753609972490795,0.36100945632216164,0.47007569784059633,0.36373809535087154,0.4158552537504928,0.5113621303034747,0.41138235611781127,0.5179553626711596,0.4120878636715835,0.510448228192498,0.41346391975856933,0.5005524233841969,0.4115822145472635,0.5037684188165235,0.41219728616469864,0.5024869553211934,0.41962092217062813,0.4903955370066919,0.42028444779286395,0.49544206707050664,0.42182357434453904,0.5014129152339305,0.42511153030760856,0.4974453328063927,0.43251286611320927,0.4837844006321867,0.4346544098505409,0.48876184751366514,0.4397331424672607,0.4897129119976193,0.44368006074071575,0.4876956941074731,0.4545524829578261,0.4685699034560981
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0.5077971636269247,0.39453304587020216,0.5129816032550241,0.38789553367598734,0.4529302652112797,0.566493155556653,0.45363471866228267,0.5547025733132103,0.45530371452911,0.5410134951750827,0.45220901754605913,0.5430815978783039,0.4551104074603658,0.5277290005115156,0.45083969101431665,0.5343706236939861,0.448293885715448,0.5407768568195787,0.4522092821743134,0.5304835983844329,0.4571378708932133,0.5119524707329766,0.45384804135748447,0.5226827388070017,0.4581108006566506,0.5042867103211006,0.4613731489009368,0.48869253422556536,0.45945029739305954,0.4963083760473931,0.4598917427920811,0.5009120613572255,0.4590063372422888,0.4994337314103049
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0.5238355820267258,0.3998875967901974,0.5303113367431881,0.38094048923635243,0.4617770651210501,0.5932065487771616,0.4659524996542842,0.5809260279323564,0.46811335350120775,0.5699221557183236,0.4745759257755086,0.5499895533850074,0.47471546017279576,0.5512133189676511,0.4752959744763633,0.5480580217706892,0.4758267901463629,0.5412558384679698,0.4749738199343182,0.539260154042366,0.47202534181640976,0.5486613675489168,0.4720026753979056,0.544784619894648,0.47437024047639315,0.5355186727695705,0.4748357196253708,0.5303593241464085,0.4749776491407256,0.5319363769550731,0.4770703693295005,0.5191431816809746,0.4779117959379581,0.515887693129754
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0.5249317095256133,0.3879917229828528,0.5269740538042035,0.3821217326510718,0.45649040031037214,0.5985324941067848,0.45667608088445844,0.5931894058976817,0.4558507985284129,0.586900209213976,0.4595162660746239,0.5679661144202409,0.45704240020168274,0.5702569051487225,0.4541329673284564,0.5705359687762102,0.4593038104754655,0.553962797391048,0.4597889407131864,0.5520387964158123,0.46584480246117954,0.5430106369234577,0.4726736885237227,0.5291938603555831,0.4800601343079142,0.5078466393806114,0.4832455798662509,0.4890287150121707,0.48461037047526345,0.4864207640136192,0.4813049714330992,0.4970196525984112,0.4806561170380226,0.4975593253130521
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0.4974458640253535,0.3842439108062591,0.5026586162203026,0.3673420958233624,0.44627308359683643,0.5467785238255786,0.44980540884270415,0.5363771363624509,0.4431621531740175,0.5448567864424898,0.44419968961259765,0.5305246268547933,0.4408085895945032,0.5291530696732571,0.43394502898435194,0.5405559668382872,0.4295397579929997,0.5344478183998393,0.4266483023635267,0.5306730220102895,0.42816090269469126,0.5128630150860715,0.42247016158339834,0.5142989574900315,0.4222888251632712,0.5088261486446809,0.41861458657896955,0.4962519821875576,0.4137039693012027,0.4945565950926799,0.4157687491652021,0.47791338147038076,0.4086840778742092,0.47815555260406406
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0.520007760231789,0.40249057333251564,0.5276919863353651,0.38573761431988435,0.46297174095882376,0.5783149212280756,0.4652802013441,0.5660349732924017,0.46407185936240347,0.5630069293469646,0.46533784405704826,0.5511403623002555,0.46601362185179396,0.5362266867574291,0.46423305395225495,0.5311133897621442,0.4638658101170311,0.5229463086029531,0.4612577957674243,0.5264939554433838,0.46317989933560283,0.5172953737024679,0.45833464131705115,0.5317748743570191,0.45939629121279013,0.5292009089236146,0.4630458367607284,0.523810723389219,0.4661526627625407,0.5180912782544598,0.4642106000431593,0.5261315004322026,0.46810892016500594,0.514393278623619
