Subject,1_back_correct,1_back_incorrect,2_back_correct,2_back_incorrect,3_back_correct,3_back_incorrect,4_back_correct,4_back_incorrect,5_back_correct,5_back_incorrect,6_back_correct,6_back_incorrect,7_back_correct,7_back_incorrect,8_back_correct,8_back_incorrect,9_back_correct,9_back_incorrect,10_back_correct,10_back_incorrect
1,0.11208024394492294,0.2663984708392603,0.13829662468280213,0.24974108959557395,0.12285185897781542,0.2106140350877193,0.10614513548649479,0.3053225234304002,0.13530832297059692,0.25347314429592915,0.09700938618026128,0.14313355413396245,0.11075787445731172,0.058979464945889626,0.05481014805950957,0.2587256493506494,0.07045979985200901,0.21060235127775445,0.08210787368842631,0.14813834055528807
2,0.06067492907271915,0.015960496973558502,0.027740693476435152,0.029822926374650505,-0.003931117901706138,0.01422268907563029,-0.011481549141395653,0.16129598743719253,0.013363249723909787,0.029389880952380987,0.040687510360167656,-0.012759571583100981,0.0043965368520597625,0.011865453728661268,-0.000877167596649131,-0.0829810568295114,0.022242998446488194,0.08219376589578281,0.006813298026567494,0.06924617820701157
3,0.036488177702448055,0.13093485642505248,0.1271170672056145,0.04935608380188905,0.09094165864999199,0.053149396129076376,0.10715509688723979,0.0009768144685803892,0.05000862663906147,-0.023588946927303345,0.06015446636830435,0.10405834896681582,0.020970489214329424,0.0059013209013208945,0.03242569087944813,0.10442643823714276,-0.004500326787214792,0.17341415662445558,0.05803055233818327,0.20132093933463796
4,0.09992165280909743,0.2548039215686274,0.114263185863068,0.08956191830089183,0.09873981108089702,0.29817671309763605,0.12216978145195051,0.10309865427472653,0.061436726691599275,0.05569985569985564,0.0879524058791365,0.2057769022710847,0.029247851289875837,0.16415595923792642,0.0767167884102794,0.1730821730821731,0.1066561844863732,0.19596380840893574,0.03436268568270906,0.12804753289827914
5,0.08687803370685143,0.20094829445659873,0.08855455504741622,0.32602153235306947,0.08810852530064356,0.22927927927927927,0.12643010269383614,0.20429913310909592,0.11150669316982231,0.22952720978037428,0.17432872217491108,0.10296741546741545,0.11859215552101954,0.22784992784992786,0.056044219416970575,0.23385045136039395,0.10037469122371406,0.2574754901960784,0.02062336757072486,0.2315014499808386
6,0.05045415926089303,0.08012699313039645,0.030701829616923915,-0.037741305629236666,0.05011147447244263,-0.04809044875921348,0.00979094133440045,-0.06317685012048607,0.01820418110128058,-0.08971036585365849,-0.012988952159379119,-0.1079410883627751,-0.012822877933421128,0.07741366178593045,0.06537793356531751,-0.061832611832611795,-0.04015444211441127,0.06507337500807647,0.0012031493437130725,-0.02032472032472027
7,0.12955944538709718,0.10751421236016867,0.02975341937969561,0.18868230358504956,0.09187314696078636,0.21616961469902646,0.08238831615120273,0.027481056444471075,0.0888718169530946,0.003696760533235477,0.08158512288933795,0.020165945165945165,0.06854173154780441,0.09524755848285266,0.0532628066729679,0.1745737333972628,0.01675971538040505,0.1040529518790389,0.027187153931339914,0.0768057335217941
8,0.13561371936110722,0.15055757414628385,0.08802536946161321,0.13007749224391185,0.050909738707193564,0.12073622881355939,0.03761956192012633,0.07879672585719616,0.06227367953395252,0.004970760233918181,0.0436124582764677,0.1705114517400036,0.0234285938503474,0.0440495642701525,0.03622343072470946,0.043581680374133125,0.05758507133538937,-0.0011471288283602665,0.019901774573579056,-0.07443633952254641
9,0.0445753648295783,0.08912976768669201,0.05306578563975817,0.03287734270414994,0.06875257592889161,0.06942881700265663,0.023267700041893602,0.05681344780343661,0.0644175679696759,-0.047969187675070024,0.02231364645874173,0.051952214452214485,0.011355335268691036,0.07291601504125222,0.07469225947149755,-0.03573943661971829,0.02546566523665139,0.19833837632699108,0.010910269183158905,0.06239322166741523
10,0.016909370567907145,0.02160293410293418,0.06443812695594103,0.017894127117253356,0.06765891186039158,0.10436154957106619,0.1022463414400705,0.03428036997761286,0.049072007542382834,0.05363927117658457,0.04475469886212641,0.024544083367612712,0.036110177187165915,0.033954257124988896,-0.04905927045634639,-0.017210984629017434,0.025106609808102365,0.012759462759462714,0.0276234149023164,0.05314492590226361
11,0.05757077632763469,0.13859664419127338,0.07219153465001049,-0.04676764879633727,0.07438819395617019,0.06832877267659876,0.029684324962962694,0.026145172656800608,0.08607171339720004,-0.09476680655546721,0.0802485567311364,-0.012526734541659923,0.0271771991945699,-0.09443598380334678,-0.010763844853464766,-0.00146520146520146,-0.02621846636289349,-0.004977685475674898,0.011805306670129467,-0.06276419082125606
12,0.05998015259157791,0.0961525907792738,0.015332582308285603,0.040827023286109765,0.0660985800589845,0.048903873480661664,0.002062857048609812,0.06385982210946345,0.04522269226141462,0.058520318944707383,0.09585997232574817,0.11103479853479853,0.04902395095356343,0.01593438358144239,0.023723833431485764,-0.019458783622870346,0.0614604346116453,-0.026600241545893744,0.048790826684093236,-0.019650554187192082
13,-0.09883416449681515,-0.08477414398467031,0.033774585921325095,0.024454094644304758,0.06143074439684604,-0.09817347775861784,0.01832902242851575,0.04437626774847875,0.06796533103302271,0.09679258049806566,-0.0432907282590827,0.005964625211942909,0.01228833211541358,0.08107553366174058,0.01024836868951684,0.04302162010085059,-0.018502173247348708,0.06792062835882601,0.008414745624256093,0.038844356779139444
14,0.06891052028162226,-0.026084363900339635,0.06651892290439143,0.06717352862030518,0.07142606486199449,0.032079690788408555,0.059227347760482496,0.11651545698924726,0.05164032384075906,0.08573270255977816,0.07064374587035399,0.0031462585034013335,0.004967835188742331,0.00931021108334995,-0.032440231274923126,0.1659536541889483,0.036504232923001534,-0.051558299289696685,0.0244360443635806,0.08881974079342497
15,0.08739286542044233,0.2755724813457431,0.18144103790160146,0.1972031236737119,0.10800511795352824,0.21217400485693172,0.132791392330866,0.2970574162679426,0.183996540582822,0.2071144091305382,0.15546794948947862,0.2590089735018107,0.05397396380361541,0.22990753911806544,0.1400970436684722,0.14581240638574966,0.10994156457557908,0.25712239504529044,0.08858382342159787,0.26105315449577743
16,0.07565101110183076,0.08662130272861296,0.005381477687433911,0.018164707176042627,-0.04385338762536767,0.001607456507193017,0.056737213403880105,-0.07454563702054673,0.002104377104377053,-0.035246868091378,0.017546501580012974,0.06515779575944586,-0.011740674507099313,-0.01745614035087717,0.07593386250961337,0.14177322677322673,-0.03336358049147187,0.047930283224400905,-0.06461635738630961,0.15127332984475844
