Subject,1_back_Averaged,1_back_Correct,1_back_Incorrect,2_back_Averaged,2_back_Correct,2_back_Incorrect,3_back_Averaged,3_back_Correct,3_back_Incorrect,4_back_Averaged,4_back_Correct,4_back_Incorrect,5_back_Averaged,5_back_Correct,5_back_Incorrect,6_back_Averaged,6_back_Correct,6_back_Incorrect,7_back_Averaged,7_back_Correct,7_back_Incorrect,8_back_Averaged,8_back_Correct,8_back_Incorrect,9_back_Averaged,9_back_Correct,9_back_Incorrect,10_back_Averaged,10_back_Correct,10_back_Incorrect
1,0.31998481767430526,0.21548924485305632,0.7137012097485846,0.4293044478362177,0.3341250853441248,0.7606262823680258,0.2919293625242456,0.23409855098974172,0.5809609863515214,0.4091531134154106,0.2557291058875668,1.0303231875670178,0.380458854737011,0.30724526862939927,0.6443135066562619,0.17018397791910614,0.13589146813675365,0.28438013365141535,0.1670359740329111,0.16949621833285167,0.1312855157155564,0.149960377006967,-0.014812824185381462,0.8059794270428811,0.19498702558613398,0.10924629279272582,0.5881425321773116,0.1560239680774059,0.10276403106559598,0.319051135373313
2,0.15335343692097805,0.17829557130671067,0.03583491830015224,0.07784249998378971,0.07611470883125897,0.08168109572292225,-0.0051905496479283005,-0.011590416624058342,0.03850003851639856,0.0914728538236316,-0.04378918197330653,0.47983940898018135,0.05080333649715828,0.03666608901755401,0.09116159441704118,0.08094621253799404,0.1243006261513827,-0.04529841642032979,0.02022049402644314,0.014651837805022478,0.038355914488965706,-0.06224539405307386,0.00011742202198358623,-0.30034779337370204,0.1165174205717421,0.05602425081348146,0.271996015449879,0.056965386289864,0.011985063153596622,0.197070166311763
3,0.12446363196996346,0.060455283541080436,0.3675523398767906,0.251689900174804,0.3298794292717027,0.11469623008550248,0.19493516863698485,0.2372101549047232,0.08749152601363012,0.2092853374804966,0.2835952612042129,-0.00027084731867375866,0.033268067027273085,0.09609288749262473,-0.16457280900045684,0.14749178704097757,0.094004709189323,0.3255258514289643,0.0075729888842580514,0.011701406312600464,-0.040201618980902416,0.13217780281255656,0.07080020726393876,0.35435167065294126,0.053738117197497645,-0.07856581935468325,0.4725421610452477,0.21461409370135986,0.105834861419436,0.6118927655586367
4,0.24327566946934784,0.10162630274067949,0.7195294434476576,0.14106866215311548,0.15466912527456805,0.0579960978502711,0.24985792328872858,0.1097680388824816,0.6929647983670799,0.14688621726003245,0.17228821137723363,0.07355339841053785,-0.024960483498953162,-0.03377579823984825,-0.04106627233136434,0.17599034442538442,0.09089265025757043,0.4654745887023883,-0.06840700245796402,-0.17288781587403376,0.3111478765903253,0.08667578135115073,0.015861182178647182,0.33702243919273556,0.19608736810506183,0.12192231462940123,0.39600330866782546,-0.0823577857075222,-0.14857560575027398,0.15179362476858063
5,0.07940797495528279,-0.0013846550129148483,0.3692283302145303,0.24021155554127271,0.0678023620518261,0.8048813786805367,0.1191909695268017,0.00621621169163894,0.4436960875296314,0.2685503118688563,0.20126283865761335,0.4663100780078124,0.190617783026945,0.0882668335370888,0.6585996860697643,0.23743959538146353,0.2959669171148406,0.05870570460249125,0.20408345212534088,0.11501962895661436,0.5738126519647112,0.10840587870718393,-0.036338621384406355,0.5201960648290564,0.1697291312604698,-0.0067251249692835136,0.6466442592868928,0.0035243377279102206,-0.18122959627083035,0.5937003627773443
6,0.21414563826267902,0.1792783459480459,0.3172116504946799,0.051709258961887494,0.11956075676016109,-0.12859105094961187,0.01638288779028384,0.09964730254343067,-0.31290785465624893,0.005995887523469833,0.04874802925487135,-0.253101687386788,-0.057915634850960254,0.04557579956168205,-0.36096518696291807,-0.12255137339733375,-0.050589443449333485,-0.374450543877796,0.039424517033527215,-0.023093340822497494,0.12924732388326501,0.12872793815224423,0.21015666639818506,-0.14593630012950023,-0.088525131470687,-0.18439897490971885,0.17321703278612063,-0.028010848943336105,-0.018482909708744274,-0.05073184837906747
7,0.34106447856168537,0.37544140670809223,0.2765253739835973,0.1714110719262905,0.04574402481517994,0.5794419150158873,0.36469029741612286,0.25681943776302635,0.6783584602486473,0.17628430797222353,0.20946888817034523,0.03601309328188116,0.16806440421951557,0.24536604604063028,-0.042355585634807055,0.15985647756862315,0.21973615521787593,-0.015948277772076136,0.20000139987643434,0.16560017960049278,0.3106461832001946,0.18834199090054074,0.10771445756631268,0.5599701287519867,0.10636195965521676,0.049759313716104495,0.26144676359295577,0.0741363658697314,0.036041495822532923,0.20880741521188595
8,0.36866820846340387,0.3704235783135368,0.3889067200173718,0.2584246690286011,0.21769057610134512,0.3642967948102252,0.14280524053886534,0.0884539833514794,0.28805818215368384,0.06416466289220214,0.036508904903627806,0.1629345548493185,0.0692307066639765,0.1093020930210886,-0.09292170652232924,0.18265166470722843,0.07813134348015832,0.496478021547786,0.02082367347803679,-0.0009421349733103601,0.07832530472188973,0.058081431875704664,0.043170477718105865,0.08133630940205558,0.07881576304648209,0.12234681739486088,-0.06602180241573889,-0.09323588158172742,-0.012818906508265573,-0.35709065640215537
9,0.22023668312847522,0.1734177553298707,0.29243186500080126,0.16890645498316156,0.16680013283329417,0.1481103990096352,0.20901714758493808,0.19792013962374602,0.26075027680889934,0.11481254678398492,0.10543236753416857,0.18406320520410074,0.10953836372301207,0.17904747801105386,-0.12530310205226608,0.12044496425652099,0.07205590385630617,0.21882070134761064,0.11544765172511914,0.03760811343668766,0.351842923102449,0.15282854324862483,0.25742518504140266,-0.22824982650207234,0.19765176146584662,0.05757217267004667,0.6638531421014133,0.10772338765585895,0.06373194179710953,0.268387570196157
10,0.031908053397295195,0.026230191468877485,0.01873509120288381,0.1008124721408303,0.1327940793510161,0.021841818987756757,0.22001386400927575,0.1886192123022734,0.3167148223773894,0.21855554303024022,0.2622069615728903,0.062366113477154365,0.11370483279991658,0.12680863366498737,0.10044992563653113,0.07250533728243051,0.11480988622455253,0.02055671473942826,0.08632625897256066,0.10148505321524753,0.07346560453889472,-0.18850852737797935,-0.2168805107455738,-0.1070162377463918,0.005757413908459047,0.004038535833226137,-0.014071149841270475,0.032017534160032904,0.008501926023545173,0.09795948358210531
