Subject,-1_back_Correct,-1_back_Incorrect,0_back_Correct,0_back_Incorrect,1_back_Correct,1_back_Incorrect,2_back_Correct,2_back_Incorrect,3_back_Correct,3_back_Incorrect,4_back_Correct,4_back_Incorrect,5_back_Correct,5_back_Incorrect,6_back_Correct,6_back_Incorrect,7_back_Correct,7_back_Incorrect,8_back_Correct,8_back_Incorrect,9_back_Correct,9_back_Incorrect,10_back_Correct,10_back_Incorrect,11_back_Correct,11_back_Incorrect,12_back_Correct,12_back_Incorrect,13_back_Correct,13_back_Incorrect,14_back_Correct,14_back_Incorrect,15_back_Correct,15_back_Incorrect,-1_back_Correct,-1_back_Incorrect,0_back_Correct,0_back_Incorrect,1_back_Correct,1_back_Incorrect,2_back_Correct,2_back_Incorrect,3_back_Correct,3_back_Incorrect,4_back_Correct,4_back_Incorrect,5_back_Correct,5_back_Incorrect,6_back_Correct,6_back_Incorrect,7_back_Correct,7_back_Incorrect,8_back_Correct,8_back_Incorrect,9_back_Correct,9_back_Incorrect,10_back_Correct,10_back_Incorrect,11_back_Correct,11_back_Incorrect,12_back_Correct,12_back_Incorrect,13_back_Correct,13_back_Incorrect,14_back_Correct,14_back_Incorrect,15_back_Correct,15_back_Incorrect
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0.27261099153589924,0.28263321706658767,0.2740062116464815,0.2817685014196779,0.26599286185353993,0.2885937760471825,0.2742872768428825,0.26136932941947927,0.2657356838738246,0.2936826564690749,0.2742070122355292,0.2581756152648947,0.2691522893053434,0.27593292680299075,0.26944987660117936,0.26810847176800323,0.26956423830945664,0.25725130996935364,0.2635540778534248,0.2819954904343876,0.2639254986901703,0.2864334205426685,0.2655268215492189,0.28232370575786575,0.2647161224201995,0.2825586557872152,0.2635661336131669,0.28696878904124506,0.2674700863090188,0.2751096401266418,0.26901453303431505,0.2782487265320693,0.273119433672426,0.25656269247325286
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0.39646479392809286,0.3578697097177399,0.39275348967490203,0.36986720007627594,0.37416706106982167,0.41670158558827763,0.3726403964472541,0.4163924778558886,0.3810332757767173,0.39586888498860573,0.37586091709134756,0.41186148519519816,0.3887063852890821,0.3792160858888044,0.3843397629709312,0.3872027085424396,0.3847524693405977,0.3842673067612951,0.38816571426437807,0.3757137539308636,0.384282976981259,0.3845809421114551,0.385987134985059,0.3906970634917664,0.3892789600621442,0.3810962797247328,0.3853568735834333,0.3847055633670605,0.3801262325878472,0.39896381122062685,0.38369563800873124,0.39087342996967156,0.38082781801669185,0.4106855290147992
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0.2907068920105597,0.3206816540735712,0.27114554558109133,0.3923992541940962,0.28636277363200047,0.3270388453922816,0.28801684170883596,0.3167983028159924,0.29260914824482653,0.3068417940986445,0.2957177111043503,0.3154949815773468,0.29204588670635806,0.323396762683718,0.29786738769720517,0.3041183523876193,0.30321886249501206,0.2792522112305571,0.29661507003261633,0.30084015144469767,0.3006183720593666,0.2914944273754899,0.2996999934446799,0.2850684788948893,0.3017450317251488,0.2675528153496609,0.2987887090251468,0.27153062560501734,0.29255754254403177,0.29347321382185965,0.2941959281601596,0.2919661857634913,0.2964728914983654,0.28251984836389593
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0.3822243334045673,0.3306507734524999,0.38236875210785337,0.3496977867216413,0.3808778308146718,0.3409264137976531,0.37622695434279535,0.349487036338102,0.36900187548042346,0.37231751609869435,0.36644854103236857,0.37250332838415623,0.3662098713669407,0.36177707005838033,0.3682663420714508,0.3455826629359238,0.3699987037541284,0.3424562037396205,0.3555150103327044,0.36352538318454236,0.3553916125572723,0.37064442916310303,0.36103917403973884,0.36711782997530323,0.3680518166622643,0.3348102891302803,0.36398160120984424,0.361124303757676,0.3582463844171361,0.3713753667297409,0.36148480104856734,0.3809547442976469,0.3614060457026683,0.3702036125997648
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0.23402865939162076,0.21060817815172417,0.22922964147995378,0.22493915865239714,0.22052584077771878,0.23258234640640887,0.21029220591505027,0.2527555746146459,0.22015915636434719,0.22967021958310424,0.21133902834291446,0.23413845345292575,0.21203041952455956,0.21864581489747495,0.20596317990303964,0.24585413126057842,0.21670869313470914,0.2044757033057305,0.21402504819030121,0.22180332540655626,0.22079339822583263,0.20876858856006314,0.21312920229055612,0.22188335491934214,0.21888346535870268,0.20740933327201444,0.21374861244032384,0.21546486763261496,0.21331414105222796,0.2230129257213433,0.22001191583666474,0.20305385373452278,0.21629857225411456,0.21526340989909257
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0.3043347970552081,0.2870703985507878,0.30246160931617816,0.3014263383258642,0.29237134192133335,0.29847985218755135,0.28696605147348503,0.3138969156732595,0.28003742669321946,0.32772303537265357,0.2919581559774413,0.2887993051770935,0.2887796805476121,0.28765771541502944,0.2876647622571072,0.2971998348420801,0.28805058364707087,0.2967833476675571,0.29081619654445306,0.29588628884627194,0.29005804193487233,0.3004418470028617,0.29513140970803786,0.2838635150984411,0.2940688466333994,0.3009769791291109,0.2898665973717209,0.3157096449575439,0.29285436952691013,0.2953069388862803,0.2905636264166481,0.30259948178326973,0.29883766287446134,0.281934984768698
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0.2109719119647187,0.2019758120682685,0.19763732648608817,0.2391853755038567,0.2056634074437662,0.19983564503900791,0.20786640949897142,0.19865367365127634,0.2074722851397822,0.19579322945502586,0.2010849009132713,0.2153695736651226,0.2027125620166089,0.20262323078803016,0.20186405093602966,0.2046505248003684,0.20398643645224293,0.19850171606874906,0.20319585696348513,0.20792283385401075,0.2011428431448415,0.21315402913222278,0.20382028259688295,0.20321597441965938,0.2004679476542282,0.21228021695168714,0.19604771193465317,0.22563823412539413,0.20042785121546083,0.19476161120316116,0.19869348894903174,0.20167702133572143,0.20599432623446573,0.1739347241664233
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0.25173512757534894,0.24173958294768347,0.23318034040754246,0.29295590975391333,0.2577361169129021,0.2123811944385728,0.24683892955695091,0.24534819648169823,0.24582461417172324,0.24515199280205463,0.24450980958588803,0.25404553340340696,0.24669811244197684,0.24981446244853286,0.2543227712137845,0.2302261371951253,0.24372661965252637,0.25595158862908163,0.25201462317075146,0.2386981542999941,0.2524668050744153,0.22797898200741495,0.25078971708000597,0.2345498437068671,0.24320669462076827,0.2578942985032585,0.24631326015552255,0.241352037520055,0.24375007060563503,0.25790097811524937,0.24080505310871345,0.2514729661218714,0.2488853677578895,0.23328010283967196
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0.2413410167758779,0.21495582895604434,0.22457983029723252,0.2705623075825447,0.2361686333811238,0.22963551325969708,0.2309806986853943,0.250632351618144,0.22695281722804195,0.25310448835486,0.23345562373290146,0.24146970072709567,0.23851391621684023,0.23005350406165975,0.2369020894489872,0.23123643021703666,0.24064343330812835,0.2326178811761023,0.24073975720053795,0.21571694684771597,0.24070752445207888,0.22715135653448554,0.24064389515646925,0.24163061625815452,0.2368471902559996,0.22593559619041598,0.23505913177456317,0.2502431013177468,0.23660650474329814,0.25499058227960025,0.23749316966891815,0.25534471986229357,0.24609071207497418,0.22542932614803096
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0.2599003844556505,0.24868617313745872,0.25910406007487996,0.2531243237241269,0.2561936672480799,0.2612346445537753,0.2592576657303917,0.2467873033809745,0.25759604841459616,0.25626806329971075,0.2491326568450704,0.27324956474258744,0.2520179535760329,0.2602310181268684,0.2503643713345229,0.26475187348088375,0.2566915267773119,0.24791142547312597,0.25524952083558405,0.25230583416377134,0.25175197562029256,0.27322740344025465,0.256983349631369,0.2542636195739964,0.2535873444096418,0.268684238568288,0.2566052722799662,0.25956170754862407,0.25061177965747106,0.2793637821810474,0.25541181600803725,0.24911339923749995,0.25912743008760797,0.2477029137840978
