Subject,1_back_Perceptual,1_back_Motor,2_back_Perceptual,2_back_Motor,3_back_Perceptual,3_back_Motor,4_back_Perceptual,4_back_Motor,5_back_Perceptual,5_back_Motor,6_back_Perceptual,6_back_Motor,7_back_Perceptual,7_back_Motor,8_back_Perceptual,8_back_Motor,9_back_Perceptual,9_back_Motor,10_back_Perceptual,10_back_Motor
1,0.17081933175581127,0.052800806212617936,0.17819054371467755,0.05333663108412879,0.16620618332191484,0.03977743440998147,0.15556035851515215,0.04223988597366651,0.16753478364346758,0.05447904542788733,0.1648903328358743,0.041437789122798045,0.16072794824022707,0.05608700150586287,0.16888502713041226,0.0752987213356913,0.1734703048324355,0.044888743797945774,0.16224085994963314,0.05767630067482313
2,0.010182658906705116,0.04163248077482237,0.013150524138933892,0.037944819961492765,0.01541473946505648,0.0330873855597592,0.006095623403903491,0.03919923596241499,0.03456986824803572,0.028950826432956468,0.006019133816079234,0.04721543775661689,0.0032193899260748917,0.04437019112873502,0.015110452322910703,0.04250751174708757,0.012166516427714975,0.06497303318538128,0.0072968604600692575,0.02573748781092664
3,0.06517889926064664,0.05293047520983766,0.06604166260354255,0.05744152674834437,0.07388102600968055,0.060339526006732876,0.056663473667369235,0.06036345643201736,0.06203445652918035,0.05861455996859429,0.059683846185882565,0.05182907194544678,0.060467864735492524,0.05530712304329135,0.06271333520119513,0.04700394813730988,0.05710751050203937,0.040677230948149165,0.06815519135298637,0.05631993814937882
4,0.21729877893914476,0.0009207381528878218,0.21641230744007423,-0.011375187599545953,0.22332844865149037,-6.226065429778216e-05,0.22980856374635827,0.0025481447005810003,0.2210180151627246,-0.004751318495920199,0.23174301552707746,-0.0013665779723081905,0.22694443586893595,-0.00022311894528035962,0.23025879338061508,-0.030088198531440357,0.23293343247793513,-0.012899100287239585,0.23892051084057309,0.010933284293174639
5,0.27691431087718926,-0.015075491794128686,0.25252738116906454,-0.03211823784734078,0.27487181814965844,-0.008372603868121033,0.2611147936710873,-0.015875606493756605,0.2819524484975271,-0.005270758330965092,0.26095914901635836,-0.037739047937896765,0.2625970729081869,-0.0038053732570045083,0.24416962792484986,-0.022834376456922857,0.2567442524593444,-0.0251315300613178,0.25844661087214393,-0.022704543030630586
6,0.010546311006562956,-0.0023141555057213077,-0.0017154717848010127,-0.016717256767502006,0.0008067009019250345,0.015096774955471967,0.011927511598254874,0.007062816731968382,-0.015166237460787102,-0.00764404868544874,0.0018070881220273905,0.006460687320241692,0.0037581682144255603,-0.010141232275344032,-0.011821595510720461,0.007538487523023569,0.0012522452143376656,-0.01021264776834308,0.017842784007748743,-0.0031973535442595736
7,0.04383268969276143,-0.004624000780834367,0.046498290997836624,0.005210937275474571,0.04645247052646875,0.016566822436400522,0.039453782711853985,-0.00544900087218113,0.061735084416792596,0.006443283923811489,0.043687229115685955,0.009244249222236647,0.06114821303874308,0.014702404288770097,0.07323573338378925,-0.0022667523040797756,0.06454425064193516,0.01106273958064057,0.04145453108164939,0.024179582172607884
8,0.07958511091830273,0.01560774557693019,0.08949578124062932,0.01349134670648894,0.08088249038514904,-0.007003495224669215,0.09314915989258132,0.01626214121411362,0.07818262293854931,0.0034503458909831107,0.09710000670024539,-0.014881103548277524,0.0794553840571638,0.0003559887867845825,0.09283935040692896,0.0009943982372650055,0.08245353926757294,-0.013763958737649368,0.08208177020456048,0.0055031052372118945
9,-0.0097953593476157,0.004185244083221466,-0.005754970183514752,0.001129011429993507,-0.0031312471831356666,0.008968228693831536,-0.012553028136144482,0.006822947028017765,0.0034457477322464227,0.017359042606710777,-0.015011239088791373,0.024827971071979156,-0.004190375337230588,0.01513439576675545,0.003128029282974362,0.02041116280013922,0.02657175619201111,0.0227344060504791,-0.0149325017120549,-0.0028392027773930873
10,0.05166787910775479,0.02705085414600827,0.05316831315153649,0.02057045743610542,0.037533411634481435,0.014695572754743327,0.043569602824310716,0.03497444822078564,0.047126218821529536,0.007768021408828526,0.061163139116710036,0.02234361555848006,0.052194299118465085,0.016464968027179613,0.048277892595726124,0.03966740326136422,0.049170183052097735,0.02772049552428887,0.03714876361347901,0.02801156167539943
11,0.014268324180274697,-0.007671441839954449,0.01836238224919304,0.009274346164872794,0.014464287708036943,-0.004551695790970877,0.015870808900179247,-0.01363053682974868,0.009128756491197614,-0.029070577707571505,0.009036484889936183,0.014101432781437613,0.01848468313963695,-0.004963656221890268,0.01659455962104162,0.006114590571969296,0.01490211818950724,-0.036845615555256346,0.021413712052199302,-0.023497750001345324
12,0.04997881368717774,0.043585648913457904,0.04995341239184471,0.04975568646729179,0.04013680860709307,0.05910350443946236,0.040425463493232755,0.04391756270321813,0.039674884049145376,0.0595390903546111,0.03958251432438223,0.048100556193171676,0.03904760534916024,0.06083014035927702,0.045617303499733246,0.04979050198131789,0.04160084017706164,0.060685148364696025,0.05460378222265812,0.03713080151141007
13,-0.019866694556967136,-0.01984348426616441,0.007515627620773679,-0.011404234553576881,-0.010448800834575292,-0.00541754389759999,-0.0010659112451874902,-0.0017302761611028207,-0.01203305509340584,-0.015942355261913014,-0.0037262914634772987,-0.008555653849950709,0.0029695989533137634,-0.00810361994011096,-0.014302055770190843,-0.003258114625876188,-0.025130732285554985,-0.002303524546711341,-0.013837584515162406,-0.0007178206961787997
14,0.0602141805701274,-0.011918952189321309,0.05157698572418958,0.016744937889369323,0.06453082700494231,0.029633859044594976,0.05453007379654776,0.005172047635202387,0.054214335419144374,0.021179716050057883,0.05571016279122634,0.0006856026283502486,0.05297857681489893,0.030065127201382005,0.0756707941989774,0.018197987730195528,0.0661262843721131,0.028748512751136882,0.05498071683244835,0.03057198334135428
15,0.27583035993991667,0.014651532191183385,0.2887666675960978,0.001107592752878106,0.289644848621627,-0.011127742979721284,0.2983820915676279,-0.0038619610525119814,0.27811967619585753,0.025811685653789822,0.28606084554158145,-0.006717570668196209,0.2728945266114162,0.002948988234391177,0.27823193203083485,-0.006885125282373819,0.2683129570035023,-0.009342403622919594,0.28617182316186385,0.005771944303466048
16,0.016657132924232723,-0.016326515169526077,0.027702354656434038,-0.0063974592645240835,0.028698446618314236,-0.01134094963616044,0.02026311409327224,-0.0017279581440184427,0.018444184573406384,-0.021637388192405727,0.008926483722246152,0.004231559837205456,0.037273922065071574,-0.01228731460124858,0.019208682329245563,-0.011332837933466624,0.019577245402024802,-0.01672765445155378,0.02020735466496728,-0.0023631501469958604
17,0.0163141132543205,0.02091856550871813,0.011950447034445066,0.020724486777461578,0.01890796339622993,-0.003603445665189504,0.0021247326737274695,0.004902887249645097,0.011007920501817642,0.013268292303469827,0.023436185208986868,0.017097980708183264,0.005525050168649305,0.0131175652864902,0.015574882980977749,0.028114520897240175,0.010836612003050576,0.006105055695633239,0.015314443076691638,-0.009527457861631594
